name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Fawcett, Johanna E",30.1,62.38,133.08,140.68,172.47,212.6,251.7,292.62,309.63,11.82,28052,12288,5931,34,F,USA,MA,Lawrence,32250
"Zawada, Eric",30.5,58.37,115.07,121.53,146.2,184.35,227.98,267.9,284.32,10.85,25393,14444,4905,27,M,USA,MA,Newton,32251
"Scott, Felicia",30.57,64.07,136.47,144.03,176.42,216.85,258.77,301.35,319.0,12.18,28792,12665,6126,37,F,USA,TX,Weatherford,32252
"McNamara, Michael J.",27.02,55.3,116.8,123.32,149.73,188.25,226.8,262.72,278.08,10.62,24546,14064,2043,50,M,USA,MA,Sudbury,32253
"Tully, Timothy M. Jr.",32.7,64.67,130.22,137.47,165.55,205.18,252.83,295.28,315.17,12.03,28497,15987,2732,49,M,USA,MA,Andover,32254
"McNamara, William F.",30.43,60.5,131.1,141.0,174.42,221.52,268.92,314.37,332.12,12.68,29649,16546,5605,33,M,USA,MA,Somerville,32255
"Grevelding, Katherine",28.15,56.15,113.65,119.53,141.47,170.2,199.03,227.33,239.18,9.13,17869,6787,3806,38,F,USA,CT,Cheshire,32256
"Youngman, Castle W",30.02,59.98,121.4,127.9,152.62,185.95,220.12,253.7,268.15,10.23,23168,9741,1694,42,F,USA,MA,Holliston,32257
"Cordeiro, Philip L",28.28,55.48,113.12,119.68,144.75,180.43,219.75,258.55,274.97,10.5,24150,13874,2163,40,M,USA,MA,Rochester,32258
"Kocher, Bob",30.7,62.4,129.85,138.83,165.6,205.5,247.37,286.18,302.85,11.57,27483,15468,914,60,M,USA,VA,Mclean,32259
