name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Carey, John B",22.37,45.1,89.85,94.67,112.5,135.77,159.67,183.12,193.23,7.38,4863,4366,533,47,M,USA,MA,Belmont,6973
"Ellis, Brad",24.22,49.63,102.18,107.7,130.32,163.6,197.15,232.37,251.15,9.58,20273,12091,2208,47,M,USA,WA,Olympia,6974
"Obrien, Craig M.",21.77,43.07,84.82,89.28,105.63,127.33,149.8,172.5,182.57,6.97,2793,2633,416,40,M,USA,MD,Annapolis,6975
"Dunn, Alyson",22.68,45.77,92.47,97.4,115.45,138.9,162.57,185.63,195.75,7.47,5449,644,78,42,F,USA,TX,Katy,6976
"Brown, Courtenay",21.7,42.98,86.2,90.98,109.83,133.53,159.62,184.57,194.6,7.43,5191,571,462,35,F,USA,CO,Boulder,6977
"Gulick, Nicole L",21.28,43.2,89.12,94.2,112.67,140.05,168.05,196.1,208.75,7.97,8911,1922,1466,38,F,USA,OR,Portland,6978
"Atto, Peter D.",21.53,43.03,87.03,91.65,109.0,132.48,157.57,182.87,194.4,7.42,5144,4583,586,46,M,CAN,ON,Toronto,6979
"Morrison, Paul",24.23,48.97,113.15,120.13,145.62,187.2,223.12,257.53,271.55,10.37,23683,13662,2424,49,M,USA,WA,Bonney Lake,6980
"Heino, Petri Jr.",21.22,42.13,84.27,88.83,105.37,128.08,152.42,176.68,187.48,7.17,3643,3371,346,46,M,FIN,others,Turku,6981
"Lavene, Richard J.",22.03,44.35,89.35,94.27,111.98,135.33,159.33,183.43,193.85,7.4,5012,4483,874,41,M,USA,NJ,New Egypt,6982
"Madsen, Chris",21.13,42.68,86.13,90.95,108.6,131.1,153.75,175.85,185.03,7.07,3229,3014,489,40,M,USA,TX,Houston,6983
"Rotman, Greg",21.52,43.08,86.15,90.95,108.55,131.92,156.8,182.0,193.15,7.38,4839,4345,2591,35,M,USA,MI,Hudsonville,6984
"Jimenez, Hector",22.52,45.27,90.45,95.4,113.25,137.13,162.08,188.4,199.58,7.62,6360,5466,2936,36,M,USA,NY,New Rochelle,6985
"Yeoh, Sonny",23.25,47.05,96.57,101.9,122.42,149.37,177.8,206.23,218.25,8.33,11877,8487,3610,39,M,USA,CA,San Jose,6986
"Cantrell, Tim",22.1,43.4,85.5,90.1,107.02,129.6,154.25,178.22,189.75,7.25,4086,3738,680,44,M,USA,KY,Florence,6988
"Favuzza, Robert J.",26.62,54.0,111.05,117.2,140.48,171.62,202.43,234.05,248.3,9.48,19708,11856,2177,49,M,USA,MA,Saugus,6989
"Forbes, John T.",22.07,44.33,89.22,94.13,111.97,135.38,159.18,184.57,195.78,7.48,5455,4809,2752,29,M,USA,NH,Brookfield,6990
"Mok, Chi Ling",20.78,41.83,83.88,88.37,104.65,126.03,147.6,168.97,178.47,6.82,2024,110,93,27,F,USA,NY,New York,6991
"Slagle, Amelia",21.92,43.33,86.48,91.17,107.93,129.95,152.45,174.08,183.77,7.02,2986,186,158,28,F,USA,OR,Portland,6992
"Jager, Jitse",22.62,44.93,89.9,94.85,113.5,147.37,184.35,224.12,240.1,9.17,18120,11184,4072,31,M,NED,others,Amsterdam,6993
"Hammitt, Robert A.",21.1,42.03,84.8,89.48,106.48,129.72,155.0,181.23,193.13,7.37,4829,4336,834,42,M,USA,OR,Portland,6994
"Schroth, Katie",22.43,45.1,90.62,95.65,113.73,137.45,161.83,185.92,196.8,7.52,5655,700,563,35,F,USA,MA,Westford,7000
"Crispin, Keith",20.13,40.77,84.15,88.83,105.88,128.78,152.83,178.57,190.92,7.28,4315,3934,442,47,M,USA,DE,Bear,7001
"Glas, Josef",21.88,42.92,88.17,93.3,112.08,138.62,168.18,196.73,208.45,7.97,8821,6944,1240,47,M,AUT,others,Vienna,7002
"Daugherty, Brett A.",22.68,45.55,90.97,95.95,113.67,136.88,160.73,186.68,198.72,7.58,6113,5285,434,51,M,USA,NE,Lincoln,7003
"Bonn, Kristian G.",25.28,50.97,99.33,104.88,124.07,149.53,177.62,205.82,217.75,8.32,11704,8410,1536,40,M,CAN,ON,Belleville,7004
"Abel, Godard K.",21.43,42.7,85.47,90.22,107.07,129.03,152.07,174.97,184.97,7.07,3212,3000,485,42,M,USA,IL,Highland Park,7005
"Carvallo, Daniel Sr.",22.62,44.92,89.8,94.58,112.1,135.38,159.35,182.88,193.07,7.37,4818,4327,2588,36,M,CHI,others,Santiago,7006
"Hughes, Richard E",23.25,46.28,98.05,103.77,124.63,153.4,183.88,218.57,233.62,8.92,16298,10401,1962,49,M,USA,OH,Worthington,7007
"Schmanski, Matthew B.",21.85,43.08,85.1,89.63,106.08,128.03,150.37,174.1,185.65,7.08,3329,3095,2080,36,M,USA,IL,Chicago,7008
"Yonkin, Dennis J.",21.43,42.9,85.63,90.33,107.22,130.02,153.82,178.58,189.52,7.23,4033,3693,218,50,M,USA,PA,Lewisburg,7010
"Shokey, Jaclyn",22.13,44.72,90.25,95.27,113.77,138.73,164.17,188.87,199.88,7.63,6447,923,727,36,F,USA,PA,Jim Thorpe,7011
"Gonzalez Vazquez, Juan Manuel",20.3,40.43,82.12,86.65,103.08,124.63,146.87,169.13,178.95,6.83,2132,2015,153,45,M,MEX,others,Mexico D.f.,7012
"Vath, Steven D.",21.27,43.03,86.78,91.58,109.13,132.95,157.88,183.52,195.08,7.45,5300,4706,922,44,M,USA,CO,Evergreen,7013
"De Vrieze, Martin R.",21.22,41.92,84.32,89.18,106.47,129.35,153.92,178.92,189.8,7.25,4097,3746,682,43,M,USA,WA,Seattle,7014
"Alison, Brett",23.33,47.62,98.33,104.2,125.03,152.08,179.0,206.48,219.12,8.37,12145,8603,3625,37,M,USA,GA,Atlanta,7015
"Beyeler, Dana A",22.43,44.9,90.07,95.05,113.37,138.87,166.75,195.33,208.63,7.97,8882,6973,56,62,M,USA,PA,Russell,7016
"Potts, John",22.4,44.18,88.15,92.97,109.72,131.52,153.72,174.02,183.37,7.0,2916,2741,33,56,M,USA,TX,Georgetown,7017
"Smith, Noel L",21.32,42.47,85.75,90.55,109.13,134.53,160.8,187.62,199.45,7.62,6316,882,696,30,F,USA,CA,Santa Rosa,7018
"Smith, Conrad",22.87,45.27,91.65,96.67,114.58,138.12,162.08,186.08,197.75,7.55,5868,5110,731,46,M,USA,UT,Cottonwood Heights,7019
"Hayden, Lewis R. II",21.58,42.97,85.05,89.62,105.87,127.13,148.62,169.55,178.88,6.83,2113,1997,305,40,M,USA,MI,Zeeland,7020
"Roussel, Martin",27.08,53.58,106.18,111.83,133.43,162.83,194.55,226.77,240.55,9.18,18204,11215,4075,39,M,CAN,QC,Cantley,7021
"Bechtold, Brent",21.35,42.48,84.63,89.18,106.22,130.57,155.2,180.08,190.53,7.28,4258,3882,2414,36,M,USA,FL,St. Augustine,7022
"Stohl, Sean",22.88,45.27,91.65,96.67,114.58,138.13,162.1,186.02,196.18,7.48,5523,4862,2766,37,M,USA,UT,South Jordan,7023
"Miller, Justin",24.62,50.57,101.62,107.42,127.03,152.38,178.3,204.23,215.73,8.23,11049,8100,3536,37,M,USA,FL,Lakeland,7024
"Kolesar, Dana",23.72,47.53,95.33,100.45,118.92,142.9,166.5,189.33,198.95,7.6,6185,850,676,34,F,USA,PA,Philadelphia,7025
"Rosen, Kenneth",21.83,43.72,87.18,91.85,108.75,131.53,154.85,177.2,187.08,7.15,3554,3291,327,48,M,USA,MN,Plymouth,7026
"Morris, Sheldon R.",21.95,43.17,85.63,90.28,107.15,130.45,156.22,181.82,193.15,7.38,4838,4344,839,41,M,CAN,NS,Springhill,7027
"McDermott, Chris A.",21.33,42.4,83.77,88.32,104.85,126.8,150.38,173.58,183.77,7.02,2987,2801,447,42,M,USA,RI,Barrington,7028
"Bouchard, Cendrix",21.05,41.92,84.58,89.25,106.03,128.02,150.2,171.58,180.72,6.9,2484,2347,1665,37,M,CAN,BC,Vancouver,7029
"Feinhaus, Dima",22.43,44.88,90.43,95.45,114.13,139.48,165.77,191.37,202.65,7.73,7136,5958,537,51,M,USA,MA,Newton,7030
"Wolner, Todd M",22.68,45.63,92.47,97.65,116.32,141.32,167.48,193.48,204.8,7.82,7748,6341,1086,47,M,USA,MN,Centerville,7031
"Martin, Cyrus",20.9,41.83,84.42,89.08,105.58,127.57,150.72,173.5,183.78,7.02,2988,2802,1923,37,M,USA,MA,Boston,7032
"Fischer-Daly, Sabine A",21.3,42.43,85.47,90.25,107.58,130.62,155.25,178.73,189.2,7.22,3972,328,271,34,F,USA,NY,Brooklyn,7034
"Faria, Fil",24.83,49.6,99.25,104.55,123.83,148.7,173.88,198.68,209.05,7.98,9010,7056,1271,49,M,USA,NH,Hudson,7035
"Peicheff, Sean",21.62,42.9,85.1,89.68,106.07,127.1,148.37,169.17,178.47,6.82,2023,1914,287,43,M,CAN,ON,Dorchester,7036
"Jarvis, John",22.2,44.77,91.17,96.43,115.73,142.75,172.57,201.5,215.17,8.22,10882,8017,1489,43,M,USA,OH,Pataskala,7037
"Parmar, Pj",20.5,41.25,84.05,88.7,106.2,129.57,154.22,183.87,198.68,7.58,6105,5278,2887,39,M,USA,CO,Lakewood,7038
"Crossley, Julie A",23.62,46.87,93.6,98.78,117.87,142.98,169.72,197.25,208.9,7.98,8965,1938,137,45,F,USA,UT,Pleasant Grove,7039
"Zehnder, Brian",24.92,51.22,107.9,114.13,137.02,166.03,195.6,223.75,235.7,9.0,16905,10643,1565,50,M,USA,UT,Salt Lake City,7040
"Garcia, Edward R.",21.3,42.77,86.6,91.48,108.67,131.68,155.72,179.03,189.85,7.25,4111,3760,412,46,M,USA,AZ,Paradise Valley,7041
"Pool, Russell",22.3,43.78,87.5,92.28,109.7,133.4,158.48,184.55,197.18,7.53,5724,5011,986,41,M,USA,NC,Fayetteville,7042
"Perdrizet, Brent R",19.57,38.7,79.07,83.48,99.6,120.72,144.22,168.37,179.28,6.85,2215,2094,1510,37,M,USA,NH,Lyme,7043
"Stork, Michael",21.6,43.37,89.15,94.18,112.95,140.15,173.38,215.25,239.12,9.13,17847,11071,4046,35,M,USA,FL,Crystal Beach,7044
"Lau, James C",22.18,45.0,92.3,97.52,116.7,142.58,169.72,197.87,210.68,8.05,9545,7344,297,59,M,USA,MI,Sterling Heights,7045
"Oeftering, Eric E",22.48,44.77,89.4,94.22,111.62,134.83,158.77,183.12,194.28,7.42,5105,4555,583,49,M,USA,CA,Los Alamitos,7046
"Vanderkooi, Joel A",21.7,43.4,87.4,92.28,110.3,134.4,160.62,187.68,199.35,7.62,6287,5412,809,45,M,USA,MI,Kalamazoo,7047
"Mercer, Dean P",21.9,43.7,88.52,93.35,111.3,135.67,161.23,188.48,201.53,7.7,6830,5762,1144,41,M,CAN,NB,Rothesay,7048
"Gerdes, Eric",22.8,45.95,91.95,96.98,115.37,140.35,167.48,194.82,207.78,7.93,8615,6831,1311,42,M,USA,UT,Kaysville,7049
"Driggs, Ryan",26.18,51.7,103.37,108.98,130.18,157.78,186.77,214.38,226.12,8.63,14222,9516,1669,40,M,USA,AZ,Mesa,7050
"Wernick, Steven",21.53,42.5,85.37,90.1,106.58,128.42,151.53,174.4,184.95,7.07,3209,2997,2031,37,M,USA,CA,Carlsbad,7051
"Oberlitner, Frank J",22.72,45.5,91.07,96.02,114.48,139.1,163.6,188.07,199.17,7.6,6240,5378,2913,36,M,USA,PA,Pittsburgh,7052
"Demarco, Brian",22.45,45.15,90.7,95.7,113.57,137.07,160.48,182.6,192.77,7.37,4749,4277,2570,39,M,USA,DC,Washington,7053
"Petrushkevich, Dennis A.",22.48,44.8,89.53,94.45,112.2,135.62,159.7,183.05,193.63,7.4,4952,4436,79,57,M,USA,IL,La Grange,7054
"Huffman, Julia",22.5,44.55,89.22,94.03,111.35,133.95,156.78,178.67,188.32,7.18,3795,295,247,29,F,USA,NH,Manchester,7056
"Asmus, Michele M.",22.0,44.05,88.67,93.58,111.37,135.55,164.13,206.0,218.62,8.35,11976,3445,2400,33,F,USA,MN,Austin,7057
"Bomboi Tormo, Joaquin",23.68,47.58,95.1,100.42,119.13,144.05,169.63,194.92,205.97,7.87,8069,6519,1134,45,M,ESP,others,Algemesi (valencia),7059
"Ichihara, Masayoshi",20.85,41.87,83.77,88.32,105.23,127.83,151.22,175.58,186.92,7.13,3529,3269,323,45,M,MEX,others,Irapuato,7060
"Sansonetti, Danielle",20.4,40.83,83.55,88.23,105.45,128.37,151.65,174.5,184.83,7.05,3191,209,178,34,F,AUS,others,Melbourne,7061
"Hicks, Amanda",22.08,44.17,88.32,93.13,110.73,134.08,158.02,181.33,191.47,7.32,4437,413,338,30,F,USA,DC,Washington,7062
"Curry, Ronald G",21.77,43.23,88.18,93.33,112.98,139.15,169.72,203.88,219.47,8.38,12267,8660,1566,40,M,USA,NY,Huntington Station,7063
"Carty, Gerry",20.53,40.28,79.97,84.32,100.15,121.58,143.25,166.2,176.4,6.73,1679,1585,220,44,M,IRL,others,Kilcolgan,7064
"Bell, Dean W",22.1,44.17,88.1,92.85,110.15,131.95,153.8,176.15,187.0,7.13,3544,3282,2168,38,M,USA,NY,New York,7065
"Reddall, Kevin S",20.38,40.58,81.7,86.23,102.73,124.42,147.08,170.72,182.02,6.95,2692,2538,1774,36,M,USA,MA,Melrose,7066
"Mcbee, Lionel C",22.47,45.05,90.85,95.87,114.2,139.08,164.97,190.45,202.05,7.72,6956,5847,3037,38,M,USA,TX,Houston,7067
"Price, Zach",20.92,41.78,83.28,87.85,104.17,125.85,148.85,172.93,183.62,7.02,2960,2777,1907,37,M,USA,CA,Sacramento,7068
"Shimada, Stephanie M",22.33,44.57,89.15,94.0,111.55,134.75,158.45,182.1,192.95,7.37,4789,482,394,29,F,USA,CA,Irvine,7070
"Curwood, Krystalanne E.",21.72,42.5,84.65,89.15,105.77,127.38,149.95,172.05,181.77,6.93,2639,151,127,28,F,USA,CO,Fort Collins,7071
"Kuschnik, Harold F.",22.78,45.32,92.03,97.13,115.15,139.25,163.47,187.25,198.0,7.57,5926,5154,410,54,M,CAN,ON,Colborne,7072
"Welch, Scott",21.65,43.68,88.9,93.97,113.82,139.48,168.13,201.48,215.48,8.23,10979,8064,3529,38,M,USA,VA,Chesapeake,7073
"Shugall, Ilyce S",21.02,41.8,84.83,89.82,108.98,132.93,157.65,182.15,192.63,7.35,4712,465,380,39,F,USA,CA,San Rafael,7074
"Gordon, Michael A.",23.17,46.42,93.32,98.38,116.23,139.43,162.45,185.28,195.53,7.47,5397,4768,632,47,M,USA,IL,Chicago,7075
"Both, Ronn",21.6,43.55,87.25,91.95,109.1,131.63,155.03,180.12,192.78,7.37,4755,4280,519,49,M,USA,PA,Elizabeth,7076
"Miller, Don R",21.03,42.55,88.15,93.22,112.55,140.83,173.75,205.68,218.93,8.37,12086,8583,1561,44,M,USA,NY,Auburn,7077
"Flower, Sean M.",21.78,43.45,87.5,92.38,110.48,135.62,163.52,191.77,206.02,7.87,8082,6527,1259,42,M,USA,MO,Eureka,7078
"Scoffin, Peter",22.27,44.33,88.9,93.85,111.87,137.07,165.6,199.73,214.22,8.18,10601,7880,3491,38,M,USA,CO,Aurora,7080
"Banister, Joshua",18.8,37.85,77.42,81.7,97.18,118.03,139.45,160.03,169.33,6.47,903,857,695,39,M,USA,IL,Peoria,7081
"Butler, Blake",21.03,42.17,84.3,88.9,105.82,127.93,151.28,175.9,187.07,7.15,3551,3289,2173,39,M,USA,MN,Waconia,7082
"Draths, Katelyn",22.9,46.05,91.98,97.0,114.75,137.73,161.03,183.22,192.68,7.35,4731,469,383,26,F,USA,IL,Chicago,7083
"Krowitz, Gregg A.",24.0,48.22,97.08,102.45,122.05,149.0,179.18,209.93,223.62,8.53,13501,9206,1730,47,M,USA,NJ,Short Hills,7084
"Esbitt, Gregory",22.85,45.87,91.67,96.53,114.22,137.22,161.33,184.53,194.83,7.43,5243,4665,916,40,M,USA,MA,Salem,7085
"Davison, Chris J",21.83,43.6,88.37,93.25,111.25,135.48,160.77,187.8,199.48,7.62,6332,5447,1084,41,M,USA,OR,Salem,7086
"Boake, Cody C",22.45,43.85,87.37,92.18,110.47,135.72,162.1,190.32,202.1,7.72,6971,5856,1160,43,M,CAN,AB,Grande Prairie,7087
"Jancsy, Daniel S",21.7,43.17,86.53,91.25,108.48,131.13,154.07,176.98,186.9,7.13,3527,3267,547,44,M,USA,NH,Durham,7088
"Peterson, Gilman",22.17,45.07,94.72,100.32,121.38,149.88,180.8,209.73,222.07,8.48,13040,9015,3686,38,M,USA,KY,Lexington,7090
"Bartel, Callie",21.6,43.0,86.2,91.05,108.75,133.52,157.7,182.0,193.05,7.37,4813,489,400,28,F,USA,WI,Green Bay,7092
"Montgomery, John",21.45,42.57,85.2,90.12,107.77,136.77,190.92,238.17,251.23,9.58,20291,12101,2210,48,M,USA,NJ,Hackettstown,7093
"Calamba, Arnel C",23.02,46.78,101.77,107.15,127.4,156.38,186.38,216.07,229.15,8.75,15059,9871,1707,41,M,USA,CA,Fremont,7094
"Keating, Paul K",21.82,43.77,88.92,94.02,113.6,139.57,165.8,192.83,204.8,7.82,7752,6343,206,59,M,USA,FL,Lakeland,7096
"Pajewski, Michael",22.18,44.28,89.05,93.97,111.8,135.95,163.65,191.38,204.03,7.78,7504,6189,1047,47,M,USA,WI,Madison,7097
"Conn, Michael",22.12,43.92,89.78,94.93,115.15,143.87,174.28,203.8,218.5,8.35,11942,8516,1573,46,M,USA,NY,Rochester,7098
"Hernandez, Fabian",21.32,43.52,87.9,92.83,110.78,135.45,161.12,186.27,197.23,7.53,5736,5019,987,43,M,COL,others,Bogota,7099
"Meltzer, Nir",21.77,43.38,87.78,92.6,109.98,132.72,155.87,178.97,189.83,7.25,4105,3754,411,48,M,CAN,ON,Toronto,7102
"Moscoe, Ken I.",22.17,44.1,88.28,92.98,109.87,133.38,158.57,182.92,193.3,7.38,4883,4380,539,45,M,CAN,ON,Toronto,7103
"Lescarbeau, Michael P",21.87,43.78,87.45,92.25,109.35,131.92,155.57,179.28,189.03,7.22,3937,3617,648,43,M,USA,MA,Agawam,7105
"Patterson, Tyler",22.05,44.15,88.28,93.15,110.4,133.12,156.7,180.48,191.3,7.3,4396,3993,747,42,M,USA,ME,Cape Elizabeth,7106
"Dolesh, Brad",21.38,42.5,84.83,89.57,106.92,131.25,163.05,192.55,208.38,7.95,8796,6929,3280,37,M,USA,MT,Bozeman,7107
"Felitte, Anthony",24.37,49.35,100.82,106.73,127.45,155.98,186.15,216.55,228.75,8.73,14953,9822,1405,51,M,USA,NY,Delmar,7108
"Antonello, Walter",21.22,42.57,88.45,93.68,112.0,137.8,165.32,193.2,205.82,7.85,8026,6500,655,54,M,ITA,others,Galliera Veneta,7109
"Buckley, Kirk D",21.57,43.1,85.22,89.83,106.95,131.0,157.37,185.52,198.17,7.57,5967,5180,752,45,M,USA,NV,Las Vegas,7110
"Webb, Jeff",23.58,46.7,93.17,98.4,117.15,142.3,167.63,192.33,203.25,7.77,7305,6073,1197,41,M,USA,PA,Ardmore,7111
"Bowser, Steven J",20.85,41.53,83.37,87.97,104.62,126.77,150.7,178.35,189.8,7.25,4100,3749,683,43,M,USA,VA,Chesapeake,7112
"Posey, Eddie E",21.12,41.28,81.87,86.13,101.8,122.88,144.07,164.32,173.22,6.62,1259,1192,147,42,M,USA,SC,Easley,7113
"Dally, Craig T.",21.73,43.32,86.52,91.23,107.83,130.52,153.85,176.4,186.65,7.13,3494,3238,540,40,M,HKG,others,Hong Kong,7114
"Pippel, Daniel J.",23.18,46.7,94.82,99.78,119.05,144.33,171.42,199.3,210.98,8.05,9629,7388,1395,40,M,USA,CA,Del Mar,7116
"Henstorf, Jayna",23.3,46.6,96.27,101.6,122.47,150.03,178.78,209.33,221.92,8.47,12999,4006,2710,33,F,USA,TX,Dallas,7117
"Shapiro, Mark S",21.68,43.33,85.6,90.18,106.62,128.55,150.43,171.78,181.28,6.92,2574,2432,380,43,M,USA,CO,Denver,7118
"Fudurich, Bob",22.02,43.37,85.53,90.05,106.63,128.37,150.25,171.53,182.23,6.97,2722,2565,1791,35,M,USA,MN,Mounds View,7119
"Tombacco, Giorgio",22.15,44.3,89.68,94.75,113.0,137.72,163.15,189.25,200.98,7.67,6700,5687,141,58,M,ITA,others,Trebaseleghe,7121
"Doyle, Charles R",22.12,44.32,89.85,94.93,112.78,136.83,162.43,187.87,199.98,7.63,6471,5537,843,46,M,USA,AZ,Maricopa,7122
"Marchal, Sean M.",22.2,44.37,89.72,94.72,112.98,137.45,165.22,193.3,207.92,7.93,8651,6852,1215,46,M,USA,CA,San Jacinto,7123
"Addison, Bill",22.13,44.17,88.32,93.22,110.57,133.67,159.17,186.52,197.85,7.55,5892,5128,1013,40,M,USA,PA,Collegeville,7124
"Morin, Brian J",21.25,42.62,85.92,90.73,107.82,130.25,153.47,177.55,188.92,7.22,3915,3598,211,51,M,USA,ME,Waterville,7127
"Schooler, Michael J",21.8,43.27,86.57,91.35,109.12,133.53,159.88,186.25,198.15,7.57,5965,5178,2854,38,M,USA,CA,Concord,7128
"Hawkesby, Duncan J.",20.95,41.8,83.95,88.58,105.42,128.18,152.32,177.53,188.65,7.2,3870,3557,2286,39,M,NZL,others,Auckland,7129
"Madden, Kevin",22.5,45.18,90.73,95.67,113.73,136.8,160.12,183.95,194.72,7.43,5211,4638,328,54,M,USA,IL,Naperville,7130
"Schouman, Kristi",22.48,45.22,90.58,95.5,113.48,136.97,161.98,186.73,197.4,7.53,5779,731,589,34,F,USA,UT,Provo,7131
"Masafumi, Hamada",22.38,44.63,88.78,93.62,110.9,133.52,156.58,179.55,190.12,7.27,4164,3803,421,47,M,USA,CA,San Jose,7132
"Davis, Michael W.",23.32,46.8,94.1,99.3,118.32,144.0,175.6,206.88,220.58,8.42,12589,8812,1640,46,M,USA,WA,Lakewood,7133
"Ryerson, Jeff",21.27,42.02,84.38,88.98,105.77,127.98,151.28,174.98,186.37,7.12,3449,3197,533,40,M,USA,FL,Royal Palm Beach,7134
"Lo, George",22.08,43.77,87.78,92.6,111.33,134.2,157.68,180.62,190.37,7.27,4226,3853,714,44,M,USA,CA,Santa Clara,7135
"Penzone, Peter J",23.15,46.67,93.48,98.47,117.37,143.52,170.25,196.35,207.57,7.93,8541,6788,1303,40,M,USA,OH,Powell,7136
"Valdes, Jaime A.",20.45,41.33,83.3,87.95,104.78,127.62,152.43,181.35,193.5,7.38,4920,4410,855,40,M,MEX,others,Mexico Df,7137
"Barry, Tom",24.95,49.95,101.1,106.75,127.23,154.95,184.17,214.28,227.17,8.67,14518,9625,3781,36,M,USA,ME,Kittery,7138
"Huang, Lisheng",20.65,40.93,84.48,89.5,108.02,133.43,159.9,191.4,203.8,7.78,7448,6158,1033,45,M,CHN,others,Shanghai,7139
"Foster, Steven A",23.58,46.98,94.37,99.45,118.12,143.13,172.72,207.6,223.38,8.53,13428,9175,646,55,M,USA,IL,Chicago,7140
"Selhorst, Abbie",21.35,42.7,86.35,91.13,108.97,132.68,156.97,180.2,189.75,7.25,4087,349,287,24,F,USA,OH,Ottawa,7141
"Zuccaro, Anthony",22.68,45.93,93.88,99.2,118.33,144.18,170.72,197.57,209.1,7.98,9035,7073,801,53,M,USA,WI,Mequon,7142
"Votteler, Jeffrey",21.97,43.78,87.67,92.48,109.65,132.02,154.77,177.43,187.47,7.17,3641,3369,568,42,M,USA,NY,Manorville,7143
"Barrett, Doug",21.93,43.9,88.57,93.38,111.32,134.9,158.97,183.55,194.35,7.42,5127,4572,2672,39,M,USA,NY,New York,7144
"Hillman, Stephanie",21.12,42.5,90.58,95.72,115.88,141.6,169.95,197.07,208.4,7.95,8805,1872,1431,28,F,USA,OH,Westerville,7145
"Gill, Michael J",21.78,43.12,86.03,90.87,109.1,134.9,162.4,190.1,202.65,7.73,7131,5955,1177,43,M,USA,MA,Marshfield,7147
"Parker, Marcus L",22.07,44.33,89.3,94.28,112.45,136.28,160.92,186.42,198.28,7.57,5994,5198,1028,43,M,USA,GA,Macon,7148
"Wosepka, Justin R",22.82,45.85,92.35,97.42,115.82,140.27,164.55,189.22,200.18,7.65,6515,5563,2969,37,M,USA,WI,Barron,7149
"Thome Da Cruz, Marco Tulio Sr.",21.92,43.73,88.53,93.58,112.0,137.35,163.53,189.98,202.1,7.72,6970,5855,3040,38,M,BRA,others,Ijui,7150
"Habermann, Christian",21.35,42.87,86.82,91.6,109.05,132.52,156.65,180.92,191.6,7.32,4464,4044,2479,39,M,USA,MA,Boston,7151
"Sall, Kirk",22.93,46.08,93.78,99.12,119.05,146.67,181.52,215.88,228.4,8.72,14868,9786,1863,46,M,USA,WA,Redmond,7152
"Osborne, Randy",22.2,44.48,89.15,94.03,111.7,136.07,169.93,204.43,216.52,8.27,11300,8218,1508,43,M,USA,OH,Medina,7153
"Dominguez, Pablo",20.57,41.03,83.23,87.72,103.88,124.93,145.83,166.15,174.62,6.67,1440,1361,177,43,M,USA,TX,The Woodlands,7154
"Pierru, Frederick",21.62,43.23,86.82,91.48,108.88,132.57,157.32,181.6,192.8,7.37,4757,4282,816,40,M,USA,MA,Cambridge,7155
"Perez Olleta, Carlos",22.45,45.2,91.15,96.17,114.83,139.6,164.55,189.62,200.32,7.65,6543,5582,472,51,M,ESP,others,Zizur Mayor,7156
"Demeules, Eric",22.23,44.48,89.02,93.87,111.52,135.33,160.22,185.87,197.9,7.55,5901,5136,1015,42,M,CAN,QC,Montreal,7159
"Cowden, Christopher S.",21.97,43.82,88.12,93.03,110.4,132.62,155.63,178.55,189.42,7.23,4017,3680,666,40,M,USA,NY,Johnson City,7160
"Stigers, Chuck",22.58,45.12,90.12,95.13,112.95,136.68,161.57,185.55,196.3,7.5,5546,4878,2772,36,M,USA,WA,Snoqualmie,7161
"Peterson, Matthew D.",22.05,44.25,88.9,93.82,111.77,137.08,164.5,191.53,203.23,7.77,7299,6068,3089,38,M,USA,WA,Seattle,7162
"Siegel, Tim",20.97,42.0,85.12,89.85,107.07,130.53,155.12,180.27,191.1,7.3,4351,3963,2445,38,M,USA,WI,Germantown,7163
"Oswalt, Erin",32.52,65.2,130.62,137.67,164.27,199.13,240.93,293.23,313.37,11.97,28360,12435,6002,34,F,USA,LA,Baton Rouge,7164
"Rhodes, Tim",21.63,43.2,88.22,93.23,111.75,137.13,164.88,195.9,209.65,8.0,9222,7178,835,52,M,USA,NC,Charlotte,7166
"Sallee, Sarah S.",22.77,45.67,90.85,95.65,113.22,136.53,160.35,183.2,193.53,7.38,4927,513,417,35,F,USA,TX,Katy,7167
"Baird, Phillip",22.58,45.1,89.95,94.92,115.52,144.28,173.85,203.12,215.23,8.22,10905,8030,1491,41,M,USA,MO,Raymore,7168
"Cummings, Tom",21.85,43.38,87.0,91.75,108.88,131.6,154.65,178.2,188.58,7.2,3852,3545,624,44,M,USA,CO,Greenwood Village,7169
"Fraysse, Michael R.",21.48,43.02,85.55,90.15,106.73,128.68,150.47,171.68,181.47,6.93,2600,2454,384,42,M,USA,NH,Derry,7170
"Lohner, Kevin",21.87,44.33,92.47,99.1,125.78,160.37,195.12,231.23,247.37,9.45,19554,11786,4186,39,M,USA,CA,Manhattan Beach,7171
"Miller, Jason M.",21.15,42.25,85.63,90.35,107.17,129.02,150.82,172.37,182.37,6.97,2753,2595,1809,36,M,USA,MD,Baltimore,7172
"Ariston, Jason",23.83,47.7,94.42,99.52,117.58,140.97,164.67,188.55,199.22,7.6,6251,5387,2920,35,M,USA,MO,Saint Louis,7173
"Mirabile, Robert",23.07,46.55,93.52,98.65,117.08,142.72,169.52,194.43,204.65,7.82,7699,6317,3149,38,M,USA,MA,Stoneham,7174
"Barber, Joshua D",21.67,43.08,86.08,90.73,107.48,130.45,154.38,179.75,193.48,7.38,4916,4406,2615,36,M,USA,NE,Lincoln,7175
